Fold,Checkpoint,Cumulative Accuracy,Delta Vs Baseline,Signed Bias,Absolute Bias Magnitude,Predicted Unacceptable,Examples
0,0,0.494140625,0.0,0.072265625,0.072265625,0.51953125,512
0,1,0.57421875,0.044921875,0.01171875,0.01171875,0.486328125,512
0,2,0.5547226386806596,0.02970143427014227,0.03148425787106446,0.03148425787106446,0.4992503748125937,667
1,0,0.544921875,0.0,0.060546875,0.060546875,0.53515625,512
1,1,0.525390625,0.0,0.05078125,0.05078125,0.5166015625,1024
1,2,0.5218120805369127,0.0,0.05536912751677853,0.05536912751677853,0.5151006711409396,1192
2,0,0.5234375,0.0,0.0625,0.0625,0.521484375,512
2,1,0.51953125,0.0009765625,0.046875,0.046875,0.4921875,512
2,2,0.52,0.00020219039595625876,0.05037037037037034,0.05037037037037034,0.49777777777777776,675
