Arm,Accuracy,Balanced Accuracy,MCC,Signed Bias,Absolute Bias Magnitude,Label 0 Accuracy,Label 1 Accuracy,Challenge Accuracy,Challenge Signed Bias,Challenge Absolute Bias
Seed Frozen,0.5226,0.5242,0.0483,0.0584,0.0584,0.5047,0.5438,0.4561,0.4725,0.4725
Iterative From Seed,0.5228,0.5238,0.0474,0.0513,0.0513,0.5114,0.5361,0.4541,0.4695,0.4695
Single Full-Budget,0.5201,0.5197,0.0393,0.0348,0.0348,0.5242,0.5153,0.4467,0.4472,0.4472
Expert Benchmark,0.5181,0.5201,0.0402,0.0638,0.0638,0.4956,0.5447,0.4561,0.4725,0.4725
Empty Prompt,0.5214,0.5184,0.0369,0.0038,0.0038,0.5540,0.4829,0.4487,0.4026,0.4026
