Fold,Checkpoint,Cumulative Accuracy,Delta Vs Seed,Signed Bias,Absolute Bias Magnitude,Predicted Unacceptable,Examples
0,0,0.513671875,0.001953125,0.029296875,0.029296875,0.505859375,512
0,1,0.515625,0.0048828125,0.046875,0.046875,0.5068359375,1024
0,2,0.592814371257485,0.0697245307872919,0.059880239520958056,0.059880239520958056,0.5209580838323353,167
1,0,0.52734375,0.0,0.0625,0.0625,0.515625,512
1,1,0.525390625,0.0,0.041015625,0.041015625,0.5068359375,1024
1,2,0.5359477124183006,0.01088399109289706,0.08496732026143788,0.08496732026143788,0.5359477124183006,153
2,0,0.501953125,0.0,0.037109375,0.037109375,0.494140625,512
2,1,0.5234375,0.0,0.0546875,0.0546875,0.5126953125,1024
